WCC_ID,Wikidata_entity,QLIT_entity
592,http://www.wikidata.org/entity/Q123851683,https://queerlit.dh.gu.se/qlit/v1/wo70nt95
594,http://www.wikidata.org/entity/Q123851643,https://queerlit.dh.gu.se/qlit/v1/un13ce14
596,http://www.wikidata.org/entity/Q123851674,https://queerlit.dh.gu.se/qlit/v1/we86xm62
598,http://www.wikidata.org/entity/Q123851540,https://queerlit.dh.gu.se/qlit/v1/ri69ha29
599,http://www.wikidata.org/entity/Q123851455,https://queerlit.dh.gu.se/qlit/v1/pm79to26
600,http://www.wikidata.org/entity/Q123851632,https://queerlit.dh.gu.se/qlit/v1/uf02zz01
603,http://www.wikidata.org/entity/Q123851412,https://queerlit.dh.gu.se/qlit/v1/nv29rf04
606,http://www.wikidata.org/entity/Q123851687,https://queerlit.dh.gu.se/qlit/v1/wt70sq05
607,http://www.wikidata.org/entity/Q610757,https://queerlit.dh.gu.se/qlit/v1/xv86md55
608,http://www.wikidata.org/entity/Q123851302,https://queerlit.dh.gu.se/qlit/v1/jp81au66
610,http://www.wikidata.org/entity/Q746411,https://queerlit.dh.gu.se/qlit/v1/ux60ib70
613,http://www.wikidata.org/entity/Q123851150,https://queerlit.dh.gu.se/qlit/v1/eh13ix50
614,http://www.wikidata.org/entity/Q123851721,https://queerlit.dh.gu.se/qlit/v1/yd09fz28
618,http://www.wikidata.org/entity/Q2536039,https://queerlit.dh.gu.se/qlit/v1/xv67mh68
619,http://www.wikidata.org/entity/Q123851164,https://queerlit.dh.gu.se/qlit/v1/et08az97
620,http://www.wikidata.org/entity/Q64737936,https://queerlit.dh.gu.se/qlit/v1/br29bz72
621,http://www.wikidata.org/entity/Q388768,https://queerlit.dh.gu.se/qlit/v1/ab59jh24
624,http://www.wikidata.org/entity/Q123851083,https://queerlit.dh.gu.se/qlit/v1/bw74og01
625,http://www.wikidata.org/entity/Q427173,https://queerlit.dh.gu.se/qlit/v1/pb81ks09
627,http://www.wikidata.org/entity/Q123851163,https://queerlit.dh.gu.se/qlit/v1/es72xt95
628,http://www.wikidata.org/entity/Q123851260,https://queerlit.dh.gu.se/qlit/v1/ik01ja84
630,http://www.wikidata.org/entity/Q123851214,https://queerlit.dh.gu.se/qlit/v1/hb45um93
631,http://www.wikidata.org/entity/Q335925,https://queerlit.dh.gu.se/qlit/v1/wm33rr79
632,http://www.wikidata.org/entity/Q123851245,https://queerlit.dh.gu.se/qlit/v1/ib13vc99
633,http://www.wikidata.org/entity/Q110256630,https://queerlit.dh.gu.se/qlit/v1/vw95lh38
634,http://www.wikidata.org/entity/Q4154060,https://queerlit.dh.gu.se/qlit/v1/se35jv42
636,http://www.wikidata.org/entity/Q123851140,https://queerlit.dh.gu.se/qlit/v1/dy42iq34
637,http://www.wikidata.org/entity/Q123851090,https://queerlit.dh.gu.se/qlit/v1/ca74me52
638,http://www.wikidata.org/entity/Q123851153,https://queerlit.dh.gu.se/qlit/v1/ei11ju25
639,http://www.wikidata.org/entity/Q123851308,https://queerlit.dh.gu.se/qlit/v1/jw79oy99
643,http://www.wikidata.org/entity/Q15145778,https://queerlit.dh.gu.se/qlit/v1/tc60ce15
644,http://www.wikidata.org/entity/Q123851370,https://queerlit.dh.gu.se/qlit/v1/mg63da79
653,http://www.wikidata.org/entity/Q3366838,https://queerlit.dh.gu.se/qlit/v1/xf51um26
654,http://www.wikidata.org/entity/Q1454125,https://queerlit.dh.gu.se/qlit/v1/qe03yc73
656,http://www.wikidata.org/entity/Q1297897,https://queerlit.dh.gu.se/qlit/v1/oa79zq45
660,http://www.wikidata.org/entity/Q123851676,https://queerlit.dh.gu.se/qlit/v1/wg03fj93
662,http://www.wikidata.org/entity/Q123851132,https://queerlit.dh.gu.se/qlit/v1/do74lo00
663,http://www.wikidata.org/entity/Q123851326,https://queerlit.dh.gu.se/qlit/v1/kn59jd20
665,http://www.wikidata.org/entity/Q1974238,https://queerlit.dh.gu.se/qlit/v1/kd86jk33
667,http://www.wikidata.org/entity/Q112871990,https://queerlit.dh.gu.se/qlit/v1/qs74zg73
668,http://www.wikidata.org/entity/Q123851367,https://queerlit.dh.gu.se/qlit/v1/mc95lg55
669,http://www.wikidata.org/entity/Q123851628,https://queerlit.dh.gu.se/qlit/v1/tz63rg85
676,http://www.wikidata.org/entity/Q123851147,https://queerlit.dh.gu.se/qlit/v1/ed80ly99
677,http://www.wikidata.org/entity/Q665819,https://queerlit.dh.gu.se/qlit/v1/xp40ps97
