Wikidata_Entity,rdfs:label,skos:altLabel,Entities_in_graph_QLIT,prefLabel_in_English_in_graph_QLIT,altLabel_in_English_in_graph_QLIT
http://www.wikidata.org/entity/Q28129894,['femme'],[],https://queerlit.dh.gu.se/qlit/v1/qk34rm23,['Femmes'],['Läppstiftslesbiska']
http://www.wikidata.org/entity/Q152910,['piska'],['piskning'],https://queerlit.dh.gu.se/qlit/v1/am48aq94,['Piskor'],[]
http://www.wikidata.org/entity/Q1531507,['bastuklubb'],[],https://queerlit.dh.gu.se/qlit/v1/cj81yo60,['Bastuklubbar'],[]
http://www.wikidata.org/entity/Q152213,['striptease'],"['erotisk dans', 'exotisk dans', 'strippdans', 'strip-tease']",https://queerlit.dh.gu.se/qlit/v1/ax27ow53,['Striptease'],"['Strippa', 'Striptease-dans']"
http://www.wikidata.org/entity/Q3110090,['sexfest'],[],https://queerlit.dh.gu.se/qlit/v1/ts00ew43,['Sexfester'],['Sexpartyn']
http://www.wikidata.org/entity/Q2706246,['Disciplinboll'],['gagball'],https://queerlit.dh.gu.se/qlit/v1/bf78mj81,['Disciplinbollar'],"['Ballgags', 'Bollgag', 'Gag-boll']"
http://www.wikidata.org/entity/Q43812,['pass'],"['Passport', 'Passkontroll']",https://queerlit.dh.gu.se/qlit/v1/gi07re10,['Pass'],[]
http://www.wikidata.org/entity/Q392963,['ageplay'],['åldersspel'],https://queerlit.dh.gu.se/qlit/v1/vr46nj48,['Ageplay'],['Age play']
http://www.wikidata.org/entity/Q1377445,['Samvetsäktenskap'],[],https://queerlit.dh.gu.se/qlit/v1/lf34bt23,['Samvetsäktenskap'],"['Common law marriage', 'Stockholmsäktenskap']"
http://www.wikidata.org/entity/Q123851725,['Äldre bisexuella'],[],https://queerlit.dh.gu.se/qlit/v1/ye70mb49,['Äldre bisexuella'],['Gamla bisexuella']
http://www.wikidata.org/entity/Q168210,['internetforum'],"['webbfora', 'webbforum', 'diskussionsforum', 'diskussionsgrupp', 'onlineforum']",https://queerlit.dh.gu.se/qlit/v1/ly14nd30,['Internetforum'],['Forum']
http://www.wikidata.org/entity/Q123851126,['Vampyrism (sexualitet)'],[],https://queerlit.dh.gu.se/qlit/v1/de29wy54,['Vampyrism (sexualitet)'],['Vampyrsex']
http://www.wikidata.org/entity/Q123851722,['Lesbisk separatism'],[],https://queerlit.dh.gu.se/qlit/v1/ye03oa57,['Lesbisk separatism'],[]
http://www.wikidata.org/entity/Q123851139,['Relationer mellan lesbiska och bögar'],[],https://queerlit.dh.gu.se/qlit/v1/dy39os96,['Relationer mellan lesbiska och bögar'],['Relationer mellan bögar och lesbiska']
